Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2013","2013","7021","Annual value","USD","2211.5","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2014","2014","7021","Annual value","USD","2744","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2015","2015","7021","Annual value","USD","2588.3","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2016","2016","7021","Annual value","USD","2544.6","I","Value 
imputed by a
receiving 
agency"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2017","2017","7021","Annual value","USD","2582","I","Value 
imputed by a
receiving 
agency"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2018","2018","7021","Annual value","USD","2535.6","I","Value 
imputed by a
receiving 
agency"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2019","2019","7021","Annual value","USD","2260.3","I","Value 
imputed by a
receiving 
agency"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2020","2020","7021","Annual value","USD","2004.6","I","Value 
imputed by a
receiving 
agency"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2021","2021","7021","Annual value","USD","2079.3","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2022","2022","7021","Annual value","USD","2077.7","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2023","2023","7021","Annual value","USD","2817.3","A","Official figure"
"PP","Producer Prices","178","Congo","5532","Producer Price (USD/tonne)","01640","Cocoa beans","1991","1991","7021","Annual value","USD","311.9","A","Official figure"
"PP","Producer Prices","178","Congo","5532","Producer Price (USD/tonne)","01640","Cocoa beans","1992","1992","7021","Annual value","USD","332.5","A","Official figure"
"PP","Producer Prices","178","Congo","5532","Producer Price (USD/tonne)","01640","Cocoa beans","1993","1993","7021","Annual value","USD","310.8","A","Official figure"
"PP","Producer Prices","178","Congo","5532","Producer Price (USD/tonne)","01640","Cocoa beans","1994","1994","7021","Annual value","USD","158.5","A","Official figure"
"PP","Producer Prices","178","Congo","5532","Producer Price (USD/tonne)","01640","Cocoa beans","1995","1995","7021","Annual value","USD","176.3","A","Official figure"
"PP","Producer Prices","178","Congo","5532","Producer Price (USD/tonne)","01640","Cocoa beans","1996","1996","7021","Annual value","USD","195.5","A","Official figure"
"PP","Producer Prices","178","Congo","5532","Producer Price (USD/tonne)","01640","Cocoa beans","1997","1997","7021","Annual value","USD","174.8","A","Official figure"
"PP","Producer Prices","178","Congo","5532","Producer Price (USD/tonne)","01640","Cocoa beans","1998","1998","7021","Annual value","USD","254.3","A","Official figure"
"PP","Producer Prices","178","Congo","5532","Producer Price (USD/tonne)","01640","Cocoa beans","1999","1999","7021","Annual value","USD","1278.7","A","Official figure"
