Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","320","Guatemala","5110","Area","6600","Country area","2023","2023","1000 ha","10889","I","Value imputed by a receiving agency",""
"RL","Land Use","324","Guinea","5110","Area","6600","Country area","2023","2023","1000 ha","24586","I","Value imputed by a receiving agency",""
"RL","Land Use","624","Guinea-Bissau","5110","Area","6600","Country area","2023","2023","1000 ha","3613","I","Value imputed by a receiving agency",""
"RL","Land Use","328","Guyana","5110","Area","6600","Country area","2023","2023","1000 ha","21497","A","Official figure",""
"RL","Land Use","332","Haiti","5110","Area","6600","Country area","2023","2023","1000 ha","2775","I","Value imputed by a receiving agency",""
"RL","Land Use","336","Holy See","5110","Area","6600","Country area","2023","2023","1000 ha","0.044","I","Value imputed by a receiving agency",""
"RL","Land Use","340","Honduras","5110","Area","6600","Country area","2023","2023","1000 ha","11249","I","Value imputed by a receiving agency",""
"RL","Land Use","348","Hungary","5110","Area","6600","Country area","2023","2023","1000 ha","9303","A","Official figure",""
"RL","Land Use","352","Iceland","5110","Area","6600","Country area","2023","2023","1000 ha","10300","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6600","Country area","2023","2023","1000 ha","328726","I","Value imputed by a receiving agency",""
"RL","Land Use","360","Indonesia","5110","Area","6600","Country area","2023","2023","1000 ha","191690.677","I","Value imputed by a receiving agency",""
"RL","Land Use","364","Iran (Islamic Republic of)","5110","Area","6600","Country area","2023","2023","1000 ha","174515","I","Value imputed by a receiving agency",""
"RL","Land Use","368","Iraq","5110","Area","6600","Country area","2023","2023","1000 ha","43505","I","Value imputed by a receiving agency",""
"RL","Land Use","372","Ireland","5110","Area","6600","Country area","2023","2023","1000 ha","7028","A","Official figure",""
"RL","Land Use","833","Isle of Man","5110","Area","6600","Country area","2023","2023","1000 ha","57","I","Value imputed by a receiving agency",""
"RL","Land Use","376","Israel","5110","Area","6600","Country area","2023","2023","1000 ha","2207","A","Official figure",""
"RL","Land Use","380","Italy","5110","Area","6600","Country area","2023","2023","1000 ha","30207","I","Value imputed by a receiving agency",""
"RL","Land Use","388","Jamaica","5110","Area","6600","Country area","2023","2023","1000 ha","1099","I","Value imputed by a receiving agency",""
"RL","Land Use","392","Japan","5110","Area","6600","Country area","2023","2023","1000 ha","37796.927","I","Value imputed by a receiving agency",""
"RL","Land Use","400","Jordan","5110","Area","6600","Country area","2023","2023","1000 ha","8931.8","A","Official figure",""
"RL","Land Use","398","Kazakhstan","5110","Area","6600","Country area","2023","2023","1000 ha","272490.2","I","Value imputed by a receiving agency",""
"RL","Land Use","404","Kenya","5110","Area","6600","Country area","2023","2023","1000 ha","59196.9","A","Official figure",""
"RL","Land Use","296","Kiribati","5110","Area","6600","Country area","2023","2023","1000 ha","81","I","Value imputed by a receiving agency",""
"RL","Land Use","414","Kuwait","5110","Area","6600","Country area","2023","2023","1000 ha","1782","I","Value imputed by a receiving agency",""
"RL","Land Use","417","Kyrgyzstan","5110","Area","6600","Country area","2023","2023","1000 ha","19995","I","Value imputed by a receiving agency",""
"RL","Land Use","418","Lao People's Democratic Republic","5110","Area","6600","Country area","2023","2023","1000 ha","23680","I","Value imputed by a receiving agency",""
"RL","Land Use","428","Latvia","5110","Area","6600","Country area","2023","2023","1000 ha","6459","A","Official figure",""
"RL","Land Use","422","Lebanon","5110","Area","6600","Country area","2023","2023","1000 ha","1045","I","Value imputed by a receiving agency",""
"RL","Land Use","426","Lesotho","5110","Area","6600","Country area","2023","2023","1000 ha","3036","I","Value imputed by a receiving agency",""
"RL","Land Use","430","Liberia","5110","Area","6600","Country area","2023","2023","1000 ha","11137","I","Value imputed by a receiving agency",""
"RL","Land Use","434","Libya","5110","Area","6600","Country area","2023","2023","1000 ha","175954","I","Value imputed by a receiving agency",""
"RL","Land Use","438","Liechtenstein","5110","Area","6600","Country area","2023","2023","1000 ha","16","I","Value imputed by a receiving agency",""
"RL","Land Use","440","Lithuania","5110","Area","6600","Country area","2023","2023","1000 ha","6529","A","Official figure",""
"RL","Land Use","442","Luxembourg","5110","Area","6600","Country area","2023","2023","1000 ha","259","A","Official figure",""
"RL","Land Use","450","Madagascar","5110","Area","6600","Country area","2023","2023","1000 ha","58729.5","I","Value imputed by a receiving agency",""
"RL","Land Use","454","Malawi","5110","Area","6600","Country area","2023","2023","1000 ha","11848","I","Value imputed by a receiving agency",""
"RL","Land Use","458","Malaysia","5110","Area","6600","Country area","2023","2023","1000 ha","33041.1","I","Value imputed by a receiving agency",""
"RL","Land Use","462","Maldives","5110","Area","6600","Country area","2023","2023","1000 ha","30","A","Official figure",""
"RL","Land Use","466","Mali","5110","Area","6600","Country area","2023","2023","1000 ha","124019","I","Value imputed by a receiving agency",""
"RL","Land Use","470","Malta","5110","Area","6600","Country area","2023","2023","1000 ha","32","A","Official figure",""
"RL","Land Use","584","Marshall Islands","5110","Area","6600","Country area","2023","2023","1000 ha","18","I","Value imputed by a receiving agency",""
"RL","Land Use","474","Martinique","5110","Area","6600","Country area","2023","2023","1000 ha","108.743","A","Official figure",""
"RL","Land Use","478","Mauritania","5110","Area","6600","Country area","2023","2023","1000 ha","103070","I","Value imputed by a receiving agency",""
"RL","Land Use","480","Mauritius","5110","Area","6600","Country area","2023","2023","1000 ha","201","A","Official figure",""
